words,acc,f1,0_f1,1_f1,2_f1,3_f1,4_f1
"code,loss,training,model",0.813333333,0.812858938,0.740740741,0.827586207,0.625,0.967741935,0.903225806
"np,code,numpy,model",0.84,0.83866539,0.740740741,0.827586207,0.6875,1,0.9375
"return,code,x,model",0.826666667,0.827643884,0.740740741,0.827586207,0.666666667,1,0.903225806
"module,code,traceback,recent",0.84,0.841297871,0.75862069,0.857142857,0.6875,1,0.903225806
"data,return,def,model",0.84,0.83866539,0.740740741,0.827586207,0.6875,1,0.9375
"data,return,def,print",0.853333333,0.852095582,0.785714286,0.827586207,0.709677419,1,0.9375
"data,model,keras,dense",0.826666667,0.825800412,0.692307692,0.827586207,0.705882353,1,0.903225806
"data,sequential,keras,dense",0.813333333,0.814818831,0.666666667,0.857142857,0.647058824,1,0.903225806
"data,model,sequential,dense",0.853333333,0.852531265,0.740740741,0.857142857,0.727272727,1,0.9375
"data,sequential,keras,model",0.826666667,0.825800412,0.692307692,0.827586207,0.705882353,1,0.903225806
"dataset,model,sequential,dense",0.853333333,0.852531265,0.740740741,0.857142857,0.727272727,1,0.9375
"error,def,return,input",0.84,0.84080526,0.785714286,0.827586207,0.6875,1,0.903225806
"error,def,return,model",0.84,0.83866539,0.740740741,0.827586207,0.6875,1,0.9375
"error,def,return,print",0.866666667,0.865201149,0.827586207,0.827586207,0.733333333,1,0.9375
"error,def,return,self",0.866666667,0.865201149,0.827586207,0.827586207,0.733333333,1,0.9375
"error,def,return,x",0.866666667,0.865201149,0.827586207,0.827586207,0.733333333,1,0.9375
"return,def,model,input",0.84,0.83866539,0.740740741,0.827586207,0.6875,1,0.9375
"return,def,x,input",0.853333333,0.852095582,0.785714286,0.827586207,0.709677419,1,0.9375
"keras,return,def,model",0.826666667,0.825800412,0.692307692,0.827586207,0.705882353,1,0.903225806
"return,def,loss,model",0.826666667,0.823746035,0.740740741,0.827586207,0.64516129,0.967741935,0.9375
"return,def,loss,print",0.84,0.837041819,0.785714286,0.827586207,0.666666667,0.967741935,0.9375
"return,def,print,model",0.84,0.83866539,0.740740741,0.827586207,0.6875,1,0.9375
